#{"t_start": 1709266852.2779326, "env_id": "None"}
r,l,t
-342.50598,21,16.057997
53.85405,22,27.850733
-647.78015,24,36.347047
-1436.828,25,42.962759
-1628.465,25,42.962817
-682.8363,26,51.576385
-1121.1475,26,51.576446
-3253.0215,28,61.670002
-2101.7812,29,68.529495
-2087.396,35,79.760219
72.338486,18,91.125582
-646.74005,27,102.587531
223.8711,26,115.74562
-401.35822,31,129.262432
-1014.5009,30,129.262493
-1026.845,35,138.064408
-1782.2407,30,145.66577
-2206.6267,31,157.912697
-789.41516,36,173.334107
-786.961,29,182.233886
-631.5752,28,192.426041
-1465.0192,27,202.533416
-1002.9026,26,212.306983
-1567.9252,29,224.145961
-1016.5864,28,232.717033
-215.14632,32,242.039548
-1305.3503,36,253.215757
-1880.9415,30,253.21581
-1345.9519,35,266.019336
-1654.997,42,272.955002
-2006.8369,29,272.955058
-334.7704,30,283.685179
-442.6332,29,283.685235
-922.38153,23,295.903477
-2312.0151,27,304.872232
-5644.289,26,304.872288
-3276.6265,23,304.872299
-2112.273,17,311.86372
-9534.21,19,315.70559
-5237.412,20,326.272642
-3978.672,30,345.203519
-3400.6902,18,350.013501
-8925.734,19,354.219617
-768.3293,20,362.219198
-578.2443,16,371.762923
215.27228,16,371.762981
-1953.9346,18,383.427082
-4332.4087,17,387.596838
-2733.8347,16,387.596895
466.12396,15,393.224332
-1613.804,15,400.443306
-428.44406,15,407.429218
657.9404,14,407.429276
496.75287,15,414.82394
-1965.4493,16,420.719213
647.53406,15,425.79704
729.29224,14,425.7971
-358.05063,17,425.797113
550.80896,15,430.903159
589.38776,15,435.871449
601.7329,15,443.26758
-1645.5352,15,448.153562
-2146.9072,15,448.153623
-2086.1606,15,458.234374
590.0932,15,467.447918
38.409058,15,472.522417
640.1126,15,472.522473
-720.3086,16,477.404109
-3091.8032,16,481.295044
-2773.9802,16,484.897876
656.6409,15,489.983631
698.404,15,495.565423
-1130.6287,16,499.083363
-1368.3235,16,506.562712
531.78595,15,514.1864
-2092.6826,15,519.6102
-2413.2683,15,519.610251
544.5086,14,519.610256
777.3478,14,527.967412
652.69354,15,527.967474
-2098.721,15,537.070749
-2448.6475,15,543.750061
-2177.2522,15,550.900753
-433.52933,14,557.315536
771.5806,14,566.323219
548.42255,14,566.323276
-1144.6354,16,570.423103
-670.921,15,570.423158
534.1664,14,575.787118
965.6273,14,575.787177
228.60446,15,583.52595
-2083.8882,15,589.430031
382.60565,14,589.430091
927.20105,15,596.3497
637.31464,15,606.39543
-793.16846,16,609.95589
589.7813,15,616.702294
-2452.5552,16,616.702354
-105.04445,16,616.702367
-2421.0789,15,616.702377
-394.0264,15,623.991528
633.3223,14,623.991599
-1319.2196,15,628.774909
748.6574,14,638.046386
594.4587,15,648.362419
-1702.208,14,656.213716
-1802.9755,15,656.213776
695.9649,15,661.961905
1066.172,15,661.961964
-2923.8855,16,665.638846
580.97986,14,675.354554
-1600.9941,15,675.354615
-1418.7748,16,679.212299
437.4442,14,686.738025
364.43042,14,693.505065
594.92664,14,698.186637
613.7354,15,706.428091
555.8474,15,706.428153
-3060.7864,16,706.428166
567.6097,14,721.832494
-3232.326,16,721.832557
-1109.9999,14,721.832571
-1623.1837,15,729.378874
645.8052,14,737.550604
362.9036,14,744.494259
601.0586,15,752.013784
337.00653,14,758.813085
396.91852,14,758.813144
398.89743,15,763.422282
667.6802,15,769.482752
668.5096,16,774.24495
443.97522,16,774.245007
456.8714,16,781.723216
579.6339,16,787.8067
518.9704,16,794.008262
627.6071,16,799.485101
786.7345,15,803.618647
632.89075,16,803.618706
653.2323,16,803.618719
212.61108,16,809.663469
588.88446,16,814.704542
368.39316,16,814.704606
587.588,16,820.896356
456.8709,16,827.951169
663.7894,16,834.302323
396.36966,16,840.40977
550.7906,16,844.239406
436.7129,16,844.239455
320.12885,16,844.239467
437.1966,16,850.38359
600.7763,16,854.137555
528.0142,16,854.137614
597.99554,16,860.936483
654.9276,16,867.179423
583.19586,16,873.472255
554.4178,16,879.656965
556.04156,16,884.48924
663.0699,16,884.489298
591.6224,16,884.48931
733.56036,15,890.229206
475.13342,16,890.229267
547.41174,16,895.001397
540.225,16,901.122763
311.95532,16,908.063723
585.7305,16,914.327809
735.7117,15,920.609129
760.9649,15,920.609184
719.5087,15,920.609197
453.49353,16,920.609207
492.627,16,927.584314
584.8141,16,927.584364
684.8527,15,927.584377
579.60297,16,933.711988
555.819,16,939.115929
434.86072,16,945.411603
661.8022,15,950.002521
599.6467,16,954.182297
591.1795,16,954.182352
445.4383,16,954.182364
